2026-05-20_22:58:21 combined_watchdog_start threshold_mb=24000
2026-05-21_02:46:25 used_mb=13256 total_mb=32768
2026-05-21_02:46:56 used_mb=13256 total_mb=32768
2026-05-21_02:47:26 used_mb=13256 total_mb=32768
2026-05-21_02:47:56 used_mb=13256 total_mb=32768
2026-05-21_02:48:26 used_mb=13256 total_mb=32768
2026-05-21_02:48:56 used_mb=13256 total_mb=32768
2026-05-21_02:49:26 used_mb=13256 total_mb=32768
2026-05-21_02:49:56 used_mb=13296 total_mb=32768
2026-05-21_02:50:26 used_mb=13296 total_mb=32768
2026-05-21_02:50:56 used_mb=13636 total_mb=32768
2026-05-21_02:51:26 used_mb=13636 total_mb=32768
2026-05-21_02:51:56 used_mb=13636 total_mb=32768
2026-05-21_02:52:26 used_mb=13636 total_mb=32768
2026-05-21_02:52:56 used_mb=13636 total_mb=32768
2026-05-21_02:53:26 used_mb=13636 total_mb=32768
2026-05-21_02:53:57 used_mb=13636 total_mb=32768
2026-05-21_02:54:27 used_mb=13636 total_mb=32768
2026-05-21_02:54:57 used_mb=13636 total_mb=32768
